Downloaded at: 2026/09/16 14:28:09

,Sakai,Sakai,Sakai,Sakai,Sakai,Sakai,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/2/20,9.2,8,1,1.5,8,1,7.4,8,1,3.4,8,1,7.2,8,1,2.0,8,1
2022/2/21,8.5,8,1,0.5,8,1,6.1,8,1,2.9,8,1,5.8,8,1,1.4,8,1
2022/2/22,8.3,8,1,1.2,8,1,7.2,8,1,2.8,8,1,7.4,8,1,0.1,8,1
2022/2/23,7.4,8,1,-1.6,8,1,7.2,8,1,2.3,8,1,5.8,8,1,-0.1,8,1
2022/2/24,8.1,8,1,-2.1,8,1,6.9,8,1,2.2,8,1,6.5,8,1,-1.0,8,1
2022/2/25,9.4,8,1,-2.0,8,1,8.6,8,1,1.1,8,1,8.3,8,1,-1.4,8,1
2022/2/26,12.4,8,1,-0.8,8,1,9.8,8,1,3.7,8,1,11.2,8,1,1.5,8,1
2022/2/27,12.8,8,1,2.4,8,1,11.7,8,1,5.8,8,1,11.8,8,1,3.7,8,1
2022/2/28,14.5,8,1,-0.1,8,1,13.5,8,1,4.1,8,1,13.9,8,1,1.7,8,1
2022/3/1,10.3,8,1,3.0,8,1,8.5,8,1,3.4,8,1,10.1,8,1,3.5,8,1
2022/3/2,13.8,8,1,5.2,8,1,12.4,8,1,7.2,8,1,13.4,8,1,6.9,8,1
2022/3/3,12.6,8,1,5.4,8,1,11.8,8,1,6.4,8,1,11.6,8,1,5.0,8,1
2022/3/4,12.1,8,1,1.2,8,1,9.6,8,1,3.7,8,1,10.7,8,1,1.4,8,1
2022/3/5,17.6,8,1,2.4,8,1,16.3,8,1,4.8,8,1,17.7,8,1,6.1,8,1
2022/3/6,10.9,8,1,4.0,8,1,9.2,8,1,5.1,8,1,9.8,8,1,2.0,8,1
2022/3/7,9.8,5,1,2.0,5,1,8.6,8,1,4.8,8,1,8.9,8,1,1.0,8,1
2022/3/8,12.6,8,1,-1.0,8,1,9.5,8,1,1.6,8,1,11.0,8,1,-0.1,8,1
2022/3/9,14.0,8,1,0.5,8,1,11.6,8,1,2.7,8,1,13.2,8,1,0.6,8,1
2022/3/10,16.1,8,1,1.7,8,1,12.8,8,1,3.8,8,1,15.0,8,1,2.3,8,1
2022/3/11,17.1,8,1,5.2,8,1,16.2,8,1,5.1,8,1,17.0,8,1,6.1,8,1
2022/3/12,20.6,8,1,7.9,8,1,20.0,8,1,10.1,8,1,20.3,8,1,10.7,8,1
2022/3/13,22.4,8,1,9.8,8,1,19.9,8,1,10.5,8,1,22.4,8,1,10.6,8,1
2022/3/14,21.6,8,1,13.7,8,1,18.6,8,1,11.6,8,1,20.5,8,1,13.3,8,1
2022/3/15,21.3,8,1,11.4,8,1,18.7,8,1,10.9,8,1,19.7,8,1,10.2,8,1
2022/3/16,21.8,8,1,7.2,8,1,20.4,8,1,9.1,8,1,20.8,8,1,6.9,8,1
