Downloaded at: 2026/09/16 14:28:09

,Sakai,Sakai,Sakai,Sakai,Sakai,Sakai,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kankuushima,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori,Kumatori
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/8/13,35.1,8,1,27.0,8,1,33.1,8,1,27.7,8,1,33.9,8,1,26.8,8,1
2022/8/14,34.4,8,1,28.7,8,1,34.1,8,1,27.5,8,1,33.4,8,1,27.7,8,1
2022/8/15,35.8,8,1,27.1,8,1,33.9,8,1,27.3,8,1,35.5,8,1,27.3,8,1
2022/8/16,36.5,8,1,26.9,8,1,35.2,8,1,26.4,8,1,35.5,8,1,25.2,8,1
2022/8/17,31.1,8,1,26.2,8,1,32.0,8,1,26.3,8,1,31.9,8,1,25.5,8,1
2022/8/18,31.1,8,1,22.3,8,1,30.1,8,1,23.1,8,1,30.7,8,1,22.2,8,1
2022/8/19,33.2,8,1,23.2,8,1,30.9,8,1,24.7,8,1,31.1,8,1,22.5,8,1
2022/8/20,34.2,8,1,25.9,8,1,31.8,8,1,26.9,8,1,33.2,8,1,26.1,8,1
2022/8/21,33.2,8,1,25.6,8,1,30.6,8,1,25.1,8,1,31.8,8,1,24.4,8,1
2022/8/22,35.8,8,1,26.7,8,1,32.0,8,1,27.0,8,1,32.6,8,1,24.8,8,1
2022/8/23,35.0,8,1,26.0,8,1,31.4,8,1,27.0,8,1,33.2,8,1,24.8,8,1
2022/8/24,34.3,8,1,27.4,8,1,30.9,8,1,27.3,8,1,31.2,8,1,26.0,8,1
2022/8/25,32.9,8,1,26.6,8,1,30.3,8,1,26.8,8,1,31.5,8,1,25.4,8,1
2022/8/26,32.5,8,1,25.4,8,1,30.2,8,1,26.5,8,1,30.7,8,1,25.1,8,1
2022/8/27,32.1,8,1,24.6,8,1,30.3,8,1,25.3,8,1,30.7,8,1,23.0,8,1
2022/8/28,30.1,8,1,23.5,8,1,27.8,8,1,23.2,8,1,28.1,8,1,21.6,8,1
2022/8/29,33.4,8,1,21.5,8,1,29.3,8,1,22.0,8,1,30.9,8,1,19.1,8,1
2022/8/30,32.9,8,1,23.5,8,1,28.2,8,1,24.1,8,1,29.9,8,1,23.1,8,1
2022/8/31,34.4,5,1,24.9,5,1,33.7,8,1,25.4,8,1,34.5,8,1,23.7,8,1
2022/9/1,31.9,8,1,24.0,8,1,30.6,8,1,24.5,8,1,31.5,8,1,24.4,8,1
2022/9/2,33.5,8,1,21.9,8,1,29.5,8,1,22.3,8,1,31.8,8,1,22.0,8,1
2022/9/3,33.2,8,1,23.7,8,1,30.0,8,1,24.7,8,1,31.7,8,1,22.9,8,1
2022/9/4,34.4,8,1,23.7,8,1,30.3,8,1,24.5,8,1,32.0,8,1,22.5,8,1
2022/9/5,35.5,8,1,24.2,8,1,32.3,8,1,24.8,8,1,33.5,8,1,22.9,8,1
2022/9/6,36.2,8,1,25.5,8,1,34.3,8,1,24.7,8,1,34.1,8,1,23.6,8,1
2022/9/7,30.7,8,1,21.9,8,1,28.9,8,1,22.6,8,1,29.6,8,1,22.0,8,1
2022/9/8,30.1,8,1,22.7,8,1,28.4,8,1,23.2,8,1,29.3,8,1,22.6,8,1
2022/9/9,28.7,8,1,22.9,8,1,27.5,8,1,23.5,8,1,27.0,8,1,22.9,8,1
2022/9/10,33.3,8,1,23.7,8,1,29.3,8,1,24.3,8,1,32.0,8,1,23.6,8,1
2022/9/11,34.6,8,1,24.1,8,1,29.8,8,1,24.6,8,1,31.5,8,1,23.0,8,1
2022/9/12,34.8,8,1,24.4,8,1,30.6,8,1,25.1,8,1,31.9,8,1,22.9,8,1
2022/9/13,35.2,8,1,25.5,8,1,32.5,8,1,25.7,8,1,34.2,8,1,22.9,8,1
2022/9/14,35.1,8,1,26.4,8,1,30.1,8,1,25.5,8,1,33.7,8,1,23.2,8,1
2022/9/15,34.7,8,1,24.6,8,1,30.6,8,1,25.2,8,1,32.4,8,1,23.3,8,1
2022/9/16,33.3,8,1,24.6,8,1,29.6,8,1,25.0,8,1,31.0,8,1,21.4,8,1
2022/9/17,29.0,8,1,25.6,8,1,29.5,8,1,24.0,8,1,28.3,8,1,21.3,8,1
2022/9/18,33.5,8,1,25.3,8,1,33.5,8,1,25.6,8,1,32.9,8,1,23.5,8,1
2022/9/19,32.4,8,1,23.9,8,1,31.1,8,1,24.2,8,1,30.5,8,1,23.5,8,1
2022/9/20,24.4,8,1,19.2,8,1,25.7,8,1,20.0,8,1,24.4,8,1,19.2,8,1
2022/9/21,23.7,8,1,18.1,8,1,23.7,8,1,19.7,8,1,22.8,8,1,18.5,8,1
2022/9/22,28.5,8,1,18.1,8,1,26.6,8,1,19.0,8,1,27.5,8,1,17.4,8,1
2022/9/23,24.1,8,1,21.6,8,1,24.8,8,1,22.0,8,1,24.1,8,1,20.9,8,1
2022/9/24,29.4,8,1,19.6,8,1,26.8,8,1,20.5,8,1,28.0,8,1,19.4,8,1
2022/9/25,28.4,8,1,16.4,8,1,25.4,8,1,19.4,8,1,27.0,8,1,17.0,8,1
2022/9/26,30.6,8,1,18.8,8,1,27.3,8,1,20.8,8,1,29.1,8,1,18.6,8,1
2022/9/27,29.4,8,1,20.5,8,1,26.8,8,1,21.5,8,1,28.5,8,1,20.6,8,1
2022/9/28,27.9,8,1,19.8,8,1,25.7,8,1,21.5,8,1,26.7,8,1,20.1,8,1
2022/9/29,27.0,8,1,19.6,8,1,25.4,8,1,21.1,8,1,25.4,8,1,18.4,8,1
2022/9/30,30.3,8,1,17.8,8,1,27.2,8,1,19.2,8,1,27.9,8,1,16.5,8,1
2022/10/1,28.6,8,1,19.0,8,1,27.2,8,1,21.3,8,1,27.4,8,1,18.1,8,1
2022/10/2,30.1,8,1,17.0,8,1,27.0,8,1,19.2,8,1,28.2,8,1,15.6,8,1
2022/10/3,29.6,8,1,18.4,8,1,26.5,8,1,20.7,8,1,27.6,8,1,18.2,8,1
2022/10/4,31.3,8,1,21.3,8,1,30.0,8,1,23.7,8,1,29.6,8,1,21.4,8,1
2022/10/5,26.8,8,1,16.9,8,1,26.4,8,1,18.6,8,1,25.8,8,1,16.4,8,1
2022/10/6,22.6,8,1,16.5,8,1,22.2,8,1,17.7,8,1,21.7,8,1,16.2,8,1
2022/10/7,18.3,8,1,15.2,8,1,20.5,8,1,15.8,8,1,18.1,8,1,15.2,8,1
2022/10/8,21.2,8,1,12.9,8,1,21.3,8,1,15.6,8,1,20.8,8,1,13.0,8,1
2022/10/9,20.3,8,1,12.2,8,1,19.3,8,1,15.2,8,1,17.6,8,1,12.2,8,1
2022/10/10,20.4,8,1,16.3,8,1,22.3,8,1,17.7,8,1,20.6,8,1,16.0,8,1
2022/10/11,21.6,8,1,15.0,8,1,20.8,8,1,17.4,8,1,20.7,8,1,14.0,8,1
2022/10/12,20.2,8,1,13.6,8,1,20.6,8,1,16.4,8,1,19.9,8,1,14.5,8,1
2022/10/13,25.6,8,1,13.4,8,1,25.4,8,1,16.5,8,1,24.8,8,1,13.2,8,1
2022/10/14,27.8,8,1,14.9,8,1,24.0,8,1,17.5,8,1,26.1,8,1,13.2,8,1
2022/10/15,26.9,8,1,15.1,8,1,24.1,8,1,17.2,8,1,25.4,8,1,14.0,8,1
2022/10/16,28.1,8,1,16.2,8,1,24.7,8,1,18.1,8,1,26.7,8,1,15.3,8,1
2022/10/17,22.6,8,1,17.5,8,1,22.8,8,1,19.4,8,1,21.5,8,1,16.9,8,1
2022/10/18,21.8,8,1,14.3,8,1,20.8,8,1,16.1,8,1,20.1,8,1,12.5,8,1
2022/10/19,22.1,8,1,11.2,8,1,20.5,8,1,13.4,8,1,20.8,8,1,11.2,8,1
2022/10/20,23.4,8,1,9.0,8,1,20.6,8,1,12.7,8,1,21.5,8,1,8.9,8,1
2022/10/21,23.2,8,1,11.7,8,1,22.9,8,1,12.9,8,1,22.6,8,1,10.8,8,1
2022/10/22,25.8,8,1,16.5,8,1,25.6,8,1,19.6,8,1,24.9,8,1,17.7,8,1
2022/10/23,24.1,8,1,16.2,8,1,22.9,8,1,17.3,8,1,23.2,8,1,15.0,8,1
2022/10/24,21.2,8,1,11.9,8,1,19.1,8,1,13.9,8,1,20.0,8,1,11.1,8,1
2022/10/25,20.6,8,1,9.7,8,1,18.7,8,1,13.0,8,1,18.9,8,1,9.5,8,1
2022/10/26,20.9,8,1,7.7,8,1,19.2,8,1,12.4,8,1,19.7,8,1,8.5,8,1
2022/10/27,19.1,8,1,9.2,8,1,18.4,8,1,11.2,8,1,19.0,8,1,8.7,8,1
2022/10/28,22.3,8,1,10.0,8,1,20.3,8,1,11.5,8,1,20.7,8,1,9.4,8,1
2022/10/29,21.2,8,1,10.3,8,1,19.2,8,1,15.2,8,1,19.6,8,1,11.0,8,1
2022/10/30,20.1,8,1,7.8,8,1,19.0,8,1,11.7,8,1,19.3,8,1,8.5,8,1
2022/10/31,21.9,8,1,8.4,8,1,20.8,8,1,11.2,8,1,21.1,8,1,7.8,8,1
2022/11/1,18.1,8,1,13.1,8,1,18.1,8,1,15.3,8,1,16.7,8,1,13.4,8,1
2022/11/2,23.7,8,1,12.8,8,1,21.0,8,1,14.3,8,1,22.5,8,1,12.5,8,1
2022/11/3,22.2,8,1,12.1,8,1,21.2,8,1,14.2,8,1,22.3,8,1,12.1,8,1
2022/11/4,21.0,8,1,10.7,8,1,20.8,8,1,14.5,8,1,20.3,8,1,10.7,8,1
2022/11/5,19.3,8,1,8.5,8,1,18.2,8,1,13.1,8,1,18.2,8,1,9.4,8,1
2022/11/6,19.8,8,1,8.6,8,1,18.0,8,1,11.4,8,1,18.5,8,1,7.5,8,1
2022/11/7,21.2,8,1,9.0,8,1,18.5,5,1,11.6,5,1,19.0,8,1,7.5,8,1
2022/11/8,19.8,8,1,8.9,8,1,19.5,8,1,11.4,8,1,18.7,8,1,10.3,8,1
2022/11/9,20.2,8,1,8.9,8,1,18.8,8,1,11.0,8,1,19.3,8,1,7.4,8,1
2022/11/10,22.0,8,1,9.5,8,1,19.7,8,1,11.6,8,1,21.7,8,1,10.6,8,1
2022/11/11,22.4,8,1,10.0,8,1,19.7,8,1,12.8,8,1,21.4,8,1,10.9,8,1
2022/11/12,24.1,8,1,12.2,8,1,21.1,8,1,12.3,8,1,22.9,8,1,11.7,8,1
2022/11/13,18.1,8,1,13.7,8,1,20.3,8,1,15.5,8,1,19.1,8,1,13.8,8,1
2022/11/14,16.8,8,1,8.7,8,1,17.7,8,1,12.0,8,1,16.6,8,1,8.4,8,1
2022/11/15,17.5,8,1,6.7,8,1,17.9,8,1,11.2,8,1,17.0,8,1,7.3,8,1
2022/11/16,17.6,8,1,7.9,8,1,17.5,8,1,13.6,8,1,17.2,8,1,8.4,8,1
2022/11/17,16.8,8,1,7.1,8,1,16.3,8,1,9.7,8,1,16.8,8,1,8.2,8,1
2022/11/18,19.2,8,1,7.5,8,1,17.6,8,1,8.6,8,1,17.7,8,1,6.7,8,1
2022/11/19,18.3,8,1,6.5,8,1,18.4,8,1,9.5,8,1,17.5,8,1,6.3,8,1
2022/11/20,18.5,8,1,10.9,8,1,19.2,8,1,11.9,8,1,18.4,8,1,9.3,8,1
2022/11/21,19.1,8,1,10.4,8,1,18.2,8,1,13.1,8,1,18.5,8,1,11.3,8,1
2022/11/22,20.0,8,1,8.7,8,1,18.1,8,1,11.8,8,1,19.1,8,1,10.7,8,1
2022/11/23,16.6,8,1,12.4,8,1,17.2,8,1,13.6,8,1,17.3,8,1,12.0,8,1
2022/11/24,19.4,8,1,10.1,8,1,18.2,8,1,13.2,8,1,18.4,8,1,9.9,8,1
2022/11/25,19.1,8,1,7.1,8,1,16.5,8,1,10.6,8,1,17.9,8,1,7.8,8,1
2022/11/26,18.7,8,1,10.3,8,1,18.4,8,1,12.3,8,1,18.4,8,1,10.1,8,1
2022/11/27,18.5,8,1,9.2,8,1,17.5,8,1,12.0,8,1,18.1,8,1,8.4,8,1
2022/11/28,21.0,8,1,9.0,8,1,18.6,8,1,10.8,8,1,17.2,4,1,7.3,4,1
2022/11/29,19.7,8,1,12.3,8,1,22.9,8,1,15.5,8,1,23.2,8,1,12.7,8,1
2022/11/30,18.0,8,1,8.5,8,1,18.0,8,1,10.2,8,1,17.0,8,1,9.0,8,1
2022/12/1,12.1,5,1,5.4,5,1,11.8,8,1,9.1,8,1,11.6,8,1,7.2,8,1
2022/12/2,11.9,8,1,3.6,8,1,11.6,8,1,7.2,8,1,10.9,8,1,3.1,8,1
2022/12/3,12.5,8,1,2.5,8,1,12.2,8,1,4.3,8,1,13.3,8,1,0.6,8,1
2022/12/4,13.8,8,1,6.4,8,1,14.5,8,1,9.7,8,1,13.5,8,1,7.2,8,1
2022/12/5,13.3,8,1,6.5,8,1,13.0,8,1,9.4,8,1,13.2,8,1,7.3,8,1
2022/12/6,12.8,8,1,4.2,8,1,12.7,8,1,9.8,8,1,12.4,8,1,7.0,8,1
2022/12/7,11.7,8,1,7.8,8,1,13.6,8,1,9.6,8,1,11.9,8,1,4.7,8,1
2022/12/8,14.4,8,1,6.2,8,1,14.3,8,1,9.5,8,1,14.3,8,1,5.4,8,1
2022/12/9,15.7,8,1,4.2,8,1,14.1,8,1,6.3,8,1,15.1,8,1,4.8,8,1
2022/12/10,16.9,8,1,6.1,8,1,14.8,8,1,6.6,8,1,16.0,8,1,5.4,8,1
2022/12/11,15.5,8,1,7.1,8,1,14.7,8,1,9.6,8,1,15.5,8,1,8.2,8,1
2022/12/12,13.8,8,1,4.1,8,1,12.5,8,1,8.0,8,1,12.6,8,1,4.0,8,1
2022/12/13,14.3,8,1,8.0,8,1,14.4,8,1,9.8,8,1,13.5,8,1,8.3,8,1
2022/12/14,12.2,8,1,3.5,8,1,13.0,8,1,5.4,8,1,11.3,8,1,3.6,8,1
2022/12/15,9.0,8,1,3.5,8,1,8.7,8,1,5.5,8,1,7.6,8,1,2.7,8,1
2022/12/16,12.0,8,1,3.6,8,1,11.5,8,1,6.2,8,1,11.0,8,1,2.9,8,1
2022/12/17,7.4,8,1,3.2,8,1,8.7,8,1,5.7,8,1,7.3,8,1,3.4,8,1
2022/12/18,5.7,8,1,1.9,8,1,7.4,8,1,3.1,8,1,5.4,8,1,1.2,8,1
2022/12/19,6.7,8,1,2.0,8,1,6.7,8,1,4.0,8,1,6.0,8,1,1.5,8,1
2022/12/20,9.1,8,1,0.6,8,1,9.1,8,1,5.1,8,1,8.5,8,1,0.5,8,1
2022/12/21,12.7,8,1,0.0,8,1,12.0,8,1,2.4,8,1,11.6,8,1,0.6,8,1
2022/12/22,11.3,8,1,2.4,8,1,11.7,8,1,3.8,8,1,10.7,8,1,0.5,8,1
2022/12/23,4.8,8,1,1.9,8,1,5.8,8,1,3.0,8,1,3.4,8,1,-1.2,8,1
2022/12/24,8.9,8,1,2.8,8,1,8.6,8,1,4.3,8,1,7.3,8,1,2.5,8,1
2022/12/25,10.0,8,1,3.2,8,1,10.1,8,1,6.3,8,1,9.1,8,1,4.3,8,1
2022/12/26,9.4,8,1,2.6,8,1,8.8,8,1,6.0,8,1,8.2,8,1,1.8,8,1
2022/12/27,10.3,8,1,0.8,8,1,10.1,8,1,3.8,8,1,9.9,8,1,1.5,8,1
2022/12/28,11.9,8,1,-0.6,8,1,10.9,8,1,3.1,8,1,11.8,8,1,0.8,8,1
2022/12/29,10.5,8,1,4.6,8,1,10.1,8,1,7.4,8,1,9.8,8,1,2.7,8,1
2022/12/30,9.8,8,1,3.4,8,1,9.1,8,1,6.6,8,1,8.9,8,1,2.3,8,1
2022/12/31,10.6,8,1,4.4,8,1,10.2,8,1,7.5,8,1,10.0,8,1,1.9,8,1
2023/1/1,10.3,8,1,3.0,8,1,10.3,8,1,7.3,8,1,10.0,8,1,2.1,8,1
2023/1/2,10.9,8,1,1.3,8,1,10.6,8,1,7.6,8,1,10.5,8,1,2.5,8,1
2023/1/3,10.1,8,1,-0.9,8,1,9.6,8,1,6.8,8,1,9.1,8,1,1.4,8,1
2023/1/4,9.7,8,1,4.8,8,1,9.7,8,1,6.9,8,1,9.6,8,1,5.2,8,1
2023/1/5,9.4,8,1,-0.1,8,1,9.7,8,1,5.6,8,1,9.2,8,1,2.4,8,1
2023/1/6,10.4,8,1,1.6,8,1,10.1,8,1,6.0,8,1,9.9,8,1,2.9,8,1
2023/1/7,11.5,8,1,0.6,8,1,9.5,8,1,5.2,8,1,10.8,8,1,3.7,8,1
2023/1/8,11.9,8,1,4.2,8,1,11.0,8,1,6.1,8,1,10.9,8,1,3.9,8,1
2023/1/9,12.3,8,1,1.3,8,1,11.8,8,1,4.8,8,1,12.8,8,1,3.9,8,1
2023/1/10,10.0,8,1,-0.1,8,1,10.7,8,1,5.6,8,1,9.9,8,1,0.8,8,1
2023/1/11,11.3,8,1,-2.0,8,1,9.3,8,1,1.5,8,1,11.2,8,1,-0.4,8,1
2023/1/12,15.6,8,1,-0.8,8,1,11.2,8,1,2.1,8,1,16.2,8,1,1.4,8,1
2023/1/13,17.8,8,1,3.1,8,1,17.6,8,1,4.8,8,1,18.4,8,1,4.6,8,1
2023/1/14,14.2,8,1,11.0,8,1,13.4,8,1,11.1,8,1,15.5,8,1,11.3,8,1
2023/1/15,14.0,8,1,8.9,8,1,13.4,8,1,10.2,8,1,13.9,8,1,9.1,8,1
2023/1/16,11.5,8,1,4.8,8,1,11.4,8,1,5.7,8,1,10.8,8,1,4.7,8,1
2023/1/17,9.4,8,1,0.0,8,1,8.9,8,1,4.4,8,1,8.9,8,1,1.2,8,1
2023/1/18,10.6,8,1,3.2,8,1,10.0,8,1,5.4,8,1,10.1,8,1,2.7,8,1
2023/1/19,10.2,8,1,1.2,8,1,9.5,8,1,5.3,8,1,10.0,8,1,2.2,8,1
2023/1/20,11.6,8,1,1.0,8,1,11.2,8,1,6.1,8,1,10.8,8,1,3.3,8,1
2023/1/21,8.7,8,1,-0.6,8,1,7.7,8,1,2.9,8,1,7.3,8,1,0.4,8,1
2023/1/22,8.9,8,1,-1.6,8,1,8.1,8,1,1.2,8,1,8.1,8,1,-1.4,8,1
2023/1/23,7.8,8,1,3.1,8,1,8.6,8,1,4.0,8,1,6.5,8,1,2.8,8,1
2023/1/24,8.5,8,1,-1.8,8,1,8.8,8,1,-0.2,8,1,7.8,8,1,-1.7,8,1
2023/1/25,3.7,8,1,-2.0,8,1,3.7,8,1,-0.9,8,1,2.4,8,1,-2.5,8,1
2023/1/26,5.6,8,1,-0.4,8,1,5.7,8,1,1.4,8,1,5.6,8,1,-1.0,8,1
2023/1/27,5.5,8,1,1.3,8,1,7.2,8,1,3.2,8,1,5.4,8,1,1.6,8,1
2023/1/28,5.9,8,1,0.7,8,1,6.1,8,1,2.6,8,1,5.3,8,1,0.7,8,1
2023/1/29,6.8,8,1,-0.2,8,1,6.7,8,1,2.4,8,1,6.2,8,1,1.3,8,1
2023/1/30,9.0,8,1,-0.5,8,1,8.2,8,1,4.1,8,1,8.0,8,1,0.2,8,1
2023/1/31,7.9,8,1,-1.8,8,1,7.3,8,1,1.9,8,1,7.5,8,1,-1.7,8,1
2023/2/1,11.6,8,1,-2.3,8,1,12.5,8,1,1.2,8,1,12.7,8,1,0.3,8,1
2023/2/2,8.2,8,1,3.9,8,1,9.2,8,1,5.3,8,1,8.1,4,1,3.6,4,1
2023/2/3,7.7,8,1,-0.7,8,1,7.7,8,1,1.4,8,1,7.0,8,1,-0.2,8,1
2023/2/4,12.2,8,1,-1.6,8,1,9.9,8,1,1.6,8,1,11.6,8,1,0.4,8,1
2023/2/5,10.9,8,1,-0.8,8,1,9.0,8,1,4.0,8,1,9.6,8,1,0.7,8,1
2023/2/6,10.9,8,1,-0.4,8,1,8.9,8,1,1.2,8,1,9.8,8,1,0.4,8,1
2023/2/7,12.3,8,1,5.9,8,1,9.9,8,1,7.3,8,1,11.1,8,1,5.0,8,1
2023/2/8,12.4,8,1,2.5,8,1,10.9,8,1,3.8,8,1,11.2,8,1,2.0,8,1
2023/2/9,9.7,8,1,0.3,8,1,9.4,8,1,3.9,8,1,9.1,8,1,2.4,8,1
2023/2/10,10.0,8,1,3.7,8,1,9.3,8,1,4.5,8,1,10.3,8,1,2.4,8,1
2023/2/11,13.9,8,1,5.2,8,1,11.3,8,1,7.9,8,1,12.7,8,1,5.6,8,1
2023/2/12,16.1,8,1,3.0,8,1,14.5,8,1,4.6,8,1,15.6,8,1,2.6,8,1
2023/2/13,11.6,8,1,5.7,8,1,11.2,5,1,7.2,5,1,9.8,8,1,6.0,8,1
2023/2/14,8.0,8,1,2.4,8,1,7.7,8,1,4.1,8,1,8.0,8,1,2.6,8,1
2023/2/15,6.4,8,1,-0.1,8,1,5.9,8,1,1.8,8,1,5.6,8,1,0.8,8,1
2023/2/16,6.3,8,1,-0.9,8,1,6.1,8,1,1.8,8,1,6.2,8,1,-1.7,8,1
2023/2/17,11.4,8,1,-3.1,8,1,11.2,8,1,-0.3,8,1,11.8,8,1,-1.5,8,1
2023/2/18,11.3,8,1,3.2,8,1,11.3,8,1,5.8,8,1,17.1,8,1,4.3,8,1
2023/2/19,18.3,8,1,9.0,8,1,17.0,8,1,9.7,8,1,18.2,8,1,8.2,8,1
2023/2/20,11.3,8,1,3.5,8,1,9.8,8,1,4.9,8,1,10.9,8,1,3.7,8,1
2023/2/21,7.9,8,1,1.1,8,1,6.6,8,1,3.2,8,1,6.8,8,1,1.4,8,1
2023/2/22,10.7,8,1,1.0,8,1,7.6,8,1,3.2,8,1,8.5,8,1,0.3,8,1
2023/2/23,12.1,8,1,4.9,8,1,11.1,8,1,5.6,8,1,11.6,8,1,4.0,8,1
2023/2/24,7.5,8,1,4.2,8,1,8.9,8,1,5.9,8,1,7.9,8,1,4.2,8,1
2023/2/25,9.6,8,1,2.0,8,1,8.8,8,1,4.3,8,1,8.3,8,1,-0.5,8,1
2023/2/26,8.2,8,1,-0.5,8,1,7.4,8,1,3.6,8,1,7.2,8,1,-0.5,8,1
2023/2/27,12.0,8,1,-1.1,8,1,9.5,8,1,4.2,8,1,11.0,8,1,0.3,8,1
2023/2/28,14.7,8,1,1.5,8,1,13.1,8,1,2.9,8,1,16.3,8,1,2.5,8,1
2023/3/1,19.0,8,1,4.0,8,1,15.8,8,1,6.6,8,1,18.4,8,1,6.0,8,1
2023/3/2,12.0,8,1,3.0,8,1,11.6,8,1,5.9,8,1,11.8,8,1,3.1,8,1
2023/3/3,10.8,8,1,1.8,8,1,9.3,8,1,5.5,8,1,10.1,8,1,0.4,8,1
2023/3/4,14.8,8,1,0.9,8,1,11.2,8,1,4.6,8,1,13.5,8,1,2.3,8,1
2023/3/5,14.7,8,1,3.5,8,1,11.4,8,1,7.0,8,1,12.9,8,1,3.1,8,1
2023/3/6,15.2,8,1,1.8,8,1,13.9,8,1,4.1,8,1,15.4,8,1,1.7,8,1
2023/3/7,16.4,8,1,2.1,8,1,15.6,8,1,6.8,8,1,17.3,8,1,5.2,8,1
2023/3/8,19.6,8,1,4.0,8,1,14.4,8,1,6.9,8,1,19.2,8,1,5.9,8,1
2023/3/9,20.6,8,1,7.0,8,1,20.8,8,1,8.5,8,1,22.2,8,1,7.3,8,1
2023/3/10,21.1,8,1,10.9,8,1,18.8,8,1,11.5,8,1,21.1,8,1,9.3,8,1
2023/3/11,23.7,8,1,8.7,8,1,17.2,8,1,8.5,8,1,22.2,8,1,7.5,8,1
2023/3/12,21.8,8,1,9.4,8,1,20.3,8,1,9.9,8,1,21.9,8,1,9.5,8,1
2023/3/13,18.3,8,1,3.4,8,1,17.5,8,1,6.8,8,1,17.6,8,1,4.1,8,1
2023/3/14,15.7,8,1,1.5,8,1,11.7,8,1,4.6,8,1,13.9,8,1,2.7,8,1
2023/3/15,19.3,8,1,4.5,8,1,19.0,8,1,5.5,8,1,19.5,8,1,5.5,8,1
2023/3/16,21.2,8,1,8.8,8,1,20.9,8,1,9.9,8,1,22.0,8,1,10.2,8,1
2023/3/17,15.9,8,1,8.4,8,1,14.0,8,1,8.9,8,1,15.0,8,1,8.1,8,1
2023/3/18,13.3,8,1,5.7,8,1,12.4,8,1,8.0,8,1,12.6,8,1,6.3,8,1
2023/3/19,15.8,8,1,3.5,8,1,12.8,8,1,8.6,8,1,14.8,8,1,4.0,8,1
2023/3/20,18.3,8,1,6.3,8,1,15.2,8,1,6.2,8,1,17.4,8,1,4.7,8,1
2023/3/21,16.7,8,1,8.2,8,1,14.8,8,1,10.2,8,1,16.3,8,1,8.9,8,1
2023/3/22,23.4,8,1,9.7,8,1,18.5,8,1,10.3,8,1,22.1,8,1,9.3,8,1
2023/3/23,20.8,8,1,13.3,8,1,19.8,8,1,12.8,8,1,22.2,8,1,12.4,8,1
2023/3/24,21.1,8,1,14.0,8,1,16.7,8,1,13.3,8,1,20.2,8,1,13.6,8,1
2023/3/25,16.0,8,1,8.8,8,1,14.9,8,1,9.0,8,1,14.7,8,1,8.6,8,1
2023/3/26,12.3,8,1,8.8,8,1,11.9,8,1,10.5,8,1,11.5,8,1,9.2,8,1
2023/3/27,17.1,8,1,6.4,8,1,14.6,8,1,8.5,8,1,15.9,8,1,5.9,8,1
2023/3/28,17.4,8,1,4.9,8,1,15.2,8,1,6.4,8,1,17.2,8,1,3.9,8,1
2023/3/29,18.5,8,1,4.9,8,1,14.9,8,1,7.0,8,1,17.7,8,1,3.9,8,1
2023/3/30,19.5,8,1,5.8,8,1,15.9,8,1,5.9,8,1,17.9,8,1,4.9,8,1
2023/3/31,21.1,8,1,8.1,8,1,17.5,8,1,10.7,8,1,20.3,8,1,9.0,8,1
2023/4/1,24.1,8,1,8.2,8,1,17.3,8,1,9.5,8,1,22.7,8,1,8.6,8,1
2023/4/2,23.5,8,1,11.1,8,1,18.9,8,1,11.5,8,1,22.1,8,1,8.9,8,1
2023/4/3,20.9,8,1,11.3,8,1,16.2,8,1,11.1,8,1,19.3,8,1,10.1,8,1
2023/4/4,20.6,8,1,7.9,8,1,19.7,8,1,9.0,8,1,20.1,8,1,7.1,8,1
2023/4/5,21.0,8,1,12.3,8,1,20.4,8,1,13.9,8,1,20.0,8,1,12.5,8,1
2023/4/6,23.8,8,1,13.7,8,1,23.0,8,1,15.8,8,1,22.5,8,1,14.4,8,1
2023/4/7,19.8,8,1,12.4,8,1,19.8,8,1,13.2,8,1,19.9,8,1,12.4,8,1
2023/4/8,16.1,8,1,8.9,8,1,14.2,8,1,11.4,8,1,14.9,8,1,9.3,8,1
2023/4/9,17.5,8,1,6.1,8,1,16.2,8,1,10.4,8,1,17.2,8,1,5.4,8,1
2023/4/10,20.7,8,1,6.8,8,1,20.7,8,1,8.4,8,1,21.7,8,1,8.1,8,1
2023/4/11,25.2,8,1,10.0,8,1,23.3,8,1,15.4,8,1,23.5,8,1,15.1,8,1
2023/4/12,20.5,8,1,9.8,8,1,19.6,8,1,11.6,8,1,20.2,8,1,11.4,8,1
2023/4/13,21.3,8,1,6.5,8,1,17.2,8,1,8.4,8,1,20.1,8,1,6.3,8,1
2023/4/14,21.7,8,1,10.0,8,1,18.0,8,1,11.5,8,1,20.6,8,1,10.1,8,1
2023/4/15,17.2,8,1,12.7,8,1,15.5,8,1,12.6,8,1,15.7,8,1,11.7,8,1
