Downloaded at: 2026/09/16 14:04:55

,Tano,Tano,Tano,Tano,Tano,Tano,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Aoshima,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Tomishiro,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Aburatsu,Kushima,Kushima,Kushima,Kushima,Kushima,Kushima
Date,Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/2/1,1.7,8,1,12.6,8,1,,0,1,,0,1,-1.3,8,1,11.3,8,1,4.1,8,1,14.1,8,1,1.4,8,1,13.7,8,1
2022/2/2,1.1,8,1,9.9,8,1,,0,1,,0,1,-0.4,8,1,8.8,8,1,5.0,8,1,11.1,8,1,3.3,8,1,10.4,8,1
2022/2/3,4.5,8,1,7.2,8,1,,0,1,,0,1,4.3,8,1,6.7,8,1,6.1,8,1,8.1,8,1,5.2,8,1,7.8,8,1
2022/2/4,3.0,8,1,13.0,8,1,,0,1,,0,1,1.5,8,1,12.8,8,1,5.2,8,1,14.1,8,1,3.4,8,1,14.4,8,1
2022/2/5,2.1,8,1,8.2,8,1,,0,1,,0,1,1.1,8,1,8.7,8,1,2.1,8,1,10.3,8,1,2.5,8,1,10.4,8,1
2022/2/6,1.0,8,1,7.8,8,1,,0,1,,0,1,-2.0,8,1,8.5,8,1,1.6,8,1,10.1,8,1,1.7,8,1,9.9,8,1
2022/2/7,-1.1,8,1,10.2,8,1,,0,1,,0,1,-2.9,8,1,10.3,8,1,0.9,8,1,11.6,8,1,-2.1,8,1,11.8,8,1
2022/2/8,3.7,8,1,8.0,8,1,,0,1,,0,1,3.4,8,1,8.6,8,1,5.5,8,1,11.2,8,1,5.1,8,1,11.8,8,1
2022/2/9,1.3,8,1,10.1,8,1,,0,1,,0,1,4.4,8,1,11.5,8,1,7.4,8,1,12.6,8,1,7.8,8,1,12.8,8,1
2022/2/10,5.5,8,1,13.4,8,1,,0,1,,0,1,4.0,8,1,14.5,8,1,7.1,8,1,14.1,8,1,5.1,8,1,16.2,8,1
2022/2/11,1.3,8,1,13.0,8,1,,0,1,,0,1,-0.5,8,1,14.8,8,1,4.1,8,1,14.7,8,1,1.2,8,1,14.6,8,1
2022/2/12,3.2,8,1,11.8,8,1,,0,1,,0,1,4.6,8,1,13.3,8,1,8.8,8,1,14.5,8,1,6.2,8,1,15.0,8,1
2022/2/13,8.5,8,1,12.1,8,1,,0,1,,0,1,8.7,8,1,14.4,8,1,10.2,8,1,15.0,8,1,10.4,8,1,15.4,8,1
2022/2/14,6.1,8,1,12.7,8,1,,0,1,,0,1,6.2,8,1,15.5,8,1,8.2,8,1,13.8,8,1,6.9,8,1,14.9,8,1
2022/2/15,3.1,8,1,12.9,8,1,,0,1,,0,1,1.9,8,1,13.8,8,1,5.1,8,1,16.0,8,1,2.6,8,1,15.7,8,1
2022/2/16,1.6,8,1,8.3,8,1,,0,1,,0,1,0.2,8,1,9.0,8,1,2.5,8,1,11.0,8,1,3.6,8,1,10.7,8,1
2022/2/17,0.6,8,1,8.7,8,1,,0,1,,0,1,0.4,8,1,8.9,8,1,2.5,8,1,9.8,8,1,2.4,8,1,10.6,8,1
2022/2/18,1.2,8,1,8.7,8,1,,0,1,,0,1,1.7,8,1,10.7,8,1,3.9,8,1,10.3,8,1,4.0,8,1,10.7,8,1
2022/2/19,3.5,8,1,11.2,8,1,,0,1,,0,1,5.1,8,1,12.8,8,1,8.5,8,1,13.6,8,1,8.5,8,1,14.1,8,1
2022/2/20,0.6,8,1,7.7,8,1,,0,1,,0,1,1.3,8,1,7.2,8,1,3.1,8,1,9.3,8,1,2.7,8,1,8.5,8,1
2022/2/21,-1.1,8,1,9.4,8,1,,0,1,,0,1,-2.0,8,1,10.4,8,1,1.0,8,1,10.2,8,1,1.1,8,1,11.3,8,1
2022/2/22,0.5,8,1,10.6,8,1,,0,1,,0,1,0.3,8,1,11.5,8,1,2.9,8,1,13.0,8,1,-0.2,8,1,12.9,8,1
2022/2/23,3.0,8,1,7.5,8,1,,0,1,,0,1,3.0,8,1,8.3,8,1,5.6,8,1,9.8,8,1,4.1,8,1,9.5,8,1
2022/2/24,1.5,8,1,12.4,8,1,,0,1,,0,1,0.1,8,1,12.3,8,1,3.9,8,1,12.1,8,1,0.7,8,1,13.5,8,1
2022/2/25,0.8,8,1,14.7,8,1,,0,1,,0,1,-3.3,8,1,14.8,8,1,0.5,8,1,14.3,8,1,-0.9,8,1,15.5,8,1
